#Spectroscopic redshift catalogue from Noirot et al.
#See Table B1 in Noirot et al. for a description of catalogue entries 
ID RA DEC FLUX_F435W FLUXERR_F435W FLUX_F606W FLUXERR_F606W FLUX_F814W FLUXERR_F814W FLUX_F090W FLUXERR_F090W FLUX_F150W FLUXERR_F150W FLUX_F200W FLUXERR_F200W FLUX_F277W FLUXERR_F277W FLUX_F356W FLUXERR_F356W FLUX_F444W FLUXERR_F444W Z_GRISM ZERR_GRISM Q_FLAG Z_SPEC REF_SPEC FLAG_MERGE_GRISM FLAG_MERGE_SPEC MU
753 110.758863 -73.451926 445.99 90.05 2751.3 42.16 7053.93 55.84 9111.38 14.99 18983.44 15.74 23490.23 11.79 22086.74 7.87 13671.07 6.28 10931.16 6.71 0.3901 0.0013 1 "" "" False False 1.0
760 110.840788 -73.451178 671.5 94.38 1232.08 51.39 1841.73 124.71 2562.96 18.06 5599.23 16.89 6032.46 11.28 6999.09 5.77 7410.01 5.32 7660.79 6.63 1.4435 0.0009 2 1.4503 muse False False 13.4
763 110.879597 -73.451654 214.64 103.65 252.06 47.81 434.27 62.91 699.55 15.67 1222.54 14.64 1529.21 9.13 1506.87 5.65 1363.15 5.31 1213.17 6.89 1.3722 0.0015 2 "" "" False False 2.6
766 110.791988 -73.451434 388.1 69.52 513.37 151.02 630.61 41.67 876.13 10.61 1434.16 10.11 1386.6 6.48 1605.81 3.82 1513.03 3.45 1476.1 4.47 1.3808 0.0006 2 "" "" False False 4.5
767 110.816283 -73.45129 188.2 92.3 2362.8 73.07 5689.03 57.06 6807.5 16.18 14909.58 16.04 17912.4 11.63 17106.29 7.01 10383.13 5.56 8546.17 6.55 0.3944 0.0019 1 0.3844 muse False False 1.0
771 110.750256 -73.45102 188.39 50.05 265.25 23.59 234.64 30.32 334.85 7.19 621.7 6.82 582.55 4.38 659.67 2.76 662.09 2.61 657.75 3.38 1.5079 0.001 2 "" "" False False 2.0
772 110.838725 -73.451052 577.53 67.69 758.09 35.64 855.16 47.97 1050.31 12.07 1600.65 11.38 1540.98 7.2 1666.02 3.79 1675.23 3.45 1636.48 4.49 1.3753 0.0009 2 1.3782 muse False False 10.6
774 110.856414 -73.450796 554.17 83.73 2685.87 42.68 5943.98 53.8 7276.63 17.72 13409.55 17.1 15294.28 12.62 13649.29 6.57 8448.01 5.24 6747.79 6.15 "" "" -99 0.3872 muse False False 1.0
788 110.764708 -73.4502 137.62 71.48 477.65 46.33 510.9 42.54 745.07 10.39 1134.04 9.88 1553.35 6.28 1490.33 3.86 1349.41 3.62 1406.88 4.68 3.0994 0.0015 2 "" "" True False 3.0
789 110.755546 -73.450067 342.27 75.83 1427.95 37.13 3263.73 46.96 4413.24 12.24 8489.02 12.08 10119.06 8.64 9088.13 5.25 5586.95 4.29 4420.78 5.18 0.3829 0.0016 1 "" "" False False 1.0
